Flask	Experiment	Marker	Replicate	t0	t1	t3
1	E vs E	Kan	1	-2.111149969	-1.880990603	-2.060513532
2	S vs E	Kan	1	-2.16407237	-2.975529566	-2.508437147
3	V vs E	Kan	1	-2.219952828	1.958114498	5.688515003
4	Y vs E	Kan	1	-2.022421853	-1.439216763	-0.786965936
5	P vs E	Kan	1	-2.558726562	3.089310621	12.16002871
6	A vs E	Kan	1	-2.409194828	3.136089631	11.47326021
7	E vs E	Kan	2	-2.111149969	-1.532897835	-2.140066163
8	S vs E	Kan	2	-2.16407237	-3.27336401	-2.478475759
9	V vs E	Kan	2	-2.219952828	1.223775432	5.82083903
10	Y vs E	Kan	2	-2.022421853	-1.585907415	-0.760969777
11	P vs E	Kan	2	-2.558726562	2.834916922	12.49998527
12	A vs E	Kan	2	-2.409194828	2.813410717	11.98859483
13	E vs E	Amp	1	-2.283299186	-2.302585093	-1.806797347
14	S vs E	Amp	1	-2.481476115	-2.502606227	-2.66469976
15	V vs E	Amp	1	-2.207587364	1.359143372	5.454252168
16	Y vs E	Amp	1	-1.967914511	-1.500704712	-0.85520304
17	P vs E	Amp	1	-1.618643961	3.005151495	11.43288276
18	A vs E	Amp	1	-2.218058664	2.922044558	8.827970979
19	E vs E	Amp	2	-2.283299186	-1.660731207	-2.240709689
20	S vs E	Amp	2	-2.481476115	-2.347705528	-2.785011242
21	V vs E	Amp	2	-2.207587364	1.166434885	5.259531342
22	Y vs E	Amp	2	-1.967914511	-1.704748092	-1.061571017
23	P vs E	Amp	2	-1.618643961	2.965305587	12.34583459
24	A vs E	Amp	2	-2.218058664	2.77927771	11.05616706
