Flask	Experiment	Marker	Replicate	t0	t1	t2	t3
1	E_1_t1000 vs E	Amp	1	NA	-1.283346392	-0.712949808	-0.089612159
2	E_2_t1000 vs E	Amp	1	NA	-1.713368835	-0.849017551	0.008888947
3	E_3_t1000 vs E	Amp	1	NA	-1.662978679	-0.907557052	-0.871838969
4	E_4_t1000 vs E	Amp	1	NA	-1.450513954	-0.975131232	-0.948598975
5	E_5_t1000 vs E	Amp	1	NA	-1.363304843	-1.032765723	-0.722822949
6	E_6_t1000 vs E	Amp	1	NA	-1.643014208	-0.640503447	-0.171850257
7	E_7_t1000 vs E	Amp	1	NA	-1.618287528	-1.33222714	-0.710438678
8	E_8_t1000 vs E	Amp	1	NA	-1.00144854	-0.43762222	-0.034846731
9	E_9_t1000 vs E	Amp	1	NA	-1.986547795	-1.712092066	-1.459155709
10	E_10_t1000 vs E	Amp	1	NA	-1.165751592	-0.735967178	-0.518562606
11	S_1_t1000 vs S	Amp	1	NA	-0.813636578	-0.474208261	-0.510825624
12	S_2_t1000 vs S	Amp	1	NA	-0.702363836	-0.348877633	-0.343251924
13	S_3_t1000 vs S	Amp	1	NA	-1.464546558	-0.69937773	-0.589006921
14	S_4_t1000 vs S	Amp	1	NA	-1.093307236	-0.499955952	-0.331117471
15	S_5_t1000 vs S	Amp	1	NA	-0.958523495	-0.698567248	-0.508900695
16	S_6_t1000 vs S	Amp	1	NA	-1.109481961	-1.010449501	-0.776262087
17	S_7_t1000 vs S	Amp	1	NA	-1.140069002	-1.014529171	-0.486532931
18	S_8_t1000 vs S	Amp	1	NA	-1.677646162	-0.891749623	-0.83832919
19	S_9_t1000 vs S	Amp	1	NA	-1.858450844	-1.549333988	-1.621133952
20	S_10_t1000 vs S	Amp	1	NA	-1.068936521	-0.579818495	-0.444134249
21	V_1_t1000 vs V	Amp	1	NA	0.633129171	2.694393875	5.860786223
22	V_2_t1000 vs V	Amp	1	NA	0.583146285	2.251291799	3.292126287
23	V_3_t1000 vs V	Amp	1	NA	0.823917412	2.505525937	3.478158423
24	V_4_t1000 vs V	Amp	1	NA	0.014706147	1.435965971	2.691243083
25	V_5_t1000 vs V	Amp	1	NA	0.615760517	2.47443535	4.056988776
26	V_6_t1000 vs V	Amp	1	NA	0.990045908	3.718977485	4.885323992
27	V_7_t1000 vs V	Amp	1	NA	0.874242496	2.992393372	5.59471138
28	V_8_t1000 vs V	Amp	1	NA	0.384674338	2.351375257	4.979029955
29	V_9_t1000 vs V	Amp	1	NA	0.633129171	2.2782924	3.610917913
30	V_10_t1000 vs V	Amp	1	NA	0.171064402	1.259139186	3.583518938
31	Y_1_t1000 vs Y	Amp	1	NA	-1.029619417	-0.516523645	0.119120828
32	Y_2_t1000 vs Y	Amp	1	NA	-1.355657392	-1.088459917	-0.428812472
33	Y_3_t1000 vs Y	Amp	1	NA	-1.599128543	-1.572011507	-1.36553237
34	Y_4_t1000 vs Y	Amp	1	NA	-1.741497634	-1.7837913	-1.30833282
35	Y_5_t1000 vs Y	Amp	1	NA	-1.961658506	-1.126469243	-0.543615447
36	Y_6_t1000 vs Y	Amp	1	NA	-2.25878247	-1.894413623	-1.876917278
37	Y_7_t1000 vs Y	Amp	1	NA	-1.391281903	-1.033015006	-0.894311825
38	Y_8_t1000 vs Y	Amp	1	NA	-0.681312723	-0.151684587	0.302949545
39	Y_9_t1000 vs Y	Amp	1	NA	-1.109138702	-0.577315365	-0.194156014
40	Y_10_t1000 vs Y	Amp	1	NA	-1.368275856	-0.908468006	-0.59900819
41	P_1_t1000 vs P	Amp	1	NA	NA	9.529570802	11.8442826
42	P_2_t1000 vs P	Amp	1	NA	NA	9.205474182	11.83632562
43	P_3_t1000 vs P	Amp	1	NA	NA	7.726116886	8.938681949
44	P_4_t1000 vs P	Amp	1	NA	NA	11.24359253	14.40329722
45	P_5_t1000 vs P	Amp	1	NA	NA	8.600714163	10.63883509
46	P_6_t1000 vs P	Amp	1	NA	NA	9.87728518	12.80765263
47	P_7_t1000 vs P	Amp	1	NA	NA	10.59361814	12.70250953
48	P_8_t1000 vs P	Amp	1	NA	NA	9.549930304	12.05419211
49	P_9_t1000 vs P	Amp	1	NA	NA	9.65639076	12.01645179
50	P_10_t1000 vs P	Amp	1	NA	NA	9.305650552	11.30220443
51	A_1_t1000 vs A	Amp	1	NA	-0.487295126	0.661398482	3.196402969
52	A_2_t1000 vs A	Amp	1	NA	1.540445041	4.828313737	9.928180165
53	A_3_t1000 vs A	Amp	1	NA	0.243977638	4.276666119	6.11452464
54	A_4_t1000 vs A	Amp	1	NA	0.627549898	4.114963849	7.308766037
55	A_5_t1000 vs A	Amp	1	NA	0.736319352	3.072693315	6.118726327
56	A_6_t1000 vs A	Amp	1	NA	0.827737335	3.871201011	6.997367438
57	A_7_t1000 vs A	Amp	1	NA	0.99852883	3.695110004	8.166216269
58	A_8_t1000 vs A	Amp	1	NA	0.873528873	4.034240638	7.287902579
59	A_9_t1000 vs A	Amp	1	NA	1.140914668	4.131158535	9.132378831
60	A_10_t1000 vs A	Amp	1	NA	0.497402603	3.896909368	6.640159965
61	E_1_t1000 vs E	Amp	2	NA	-1.122142786	-0.619039208	-0.27407642
62	E_2_t1000 vs E	Amp	2	NA	-1.119555463	-0.61698582	-0.369920171
63	E_3_t1000 vs E	Amp	2	NA	-1.116961427	-1.372688709	-0.666478933
64	E_4_t1000 vs E	Amp	2	NA	-0.84729786	-0.412845215	-0.60077386
65	E_5_t1000 vs E	Amp	2	NA	-0.433189656	-0.570544858	-0.112117298
66	E_6_t1000 vs E	Amp	2	NA	-1.19449406	-0.448693843	-0.108894088
67	E_7_t1000 vs E	Amp	2	NA	-1.012845467	-1.155770703	-0.264883157
68	E_8_t1000 vs E	Amp	2	NA	-0.937600518	-0.425267735	0.157628944
69	E_9_t1000 vs E	Amp	2	NA	-2.233592222	-2.133508763	-1.684006608
70	E_10_t1000 vs E	Amp	2	NA	-1.281981514	-1.062618686	-0.715961858
71	S_1_t1000 vs S	Amp	2	NA	-1.414732296	-1.455287233	-0.634498453
72	S_2_t1000 vs S	Amp	2	NA	-0.903868212	-1.056052674	-0.965791376
73	S_3_t1000 vs S	Amp	2	NA	-1.597603455	-0.854990206	-0.201552919
