Flask	Experiment	Marker	Replicate	t0	t1	t2	t3
241	E_1_t1000 vs E	Kan	1	0.206473888	0.499397649	0.784990675	1.091590504
242	E_2_t1000 vs E	Kan	1	0.212608093	0.201495839	0.576252728	0.671923477
243	E_3_t1000 vs E	Kan	1	0.435229093	NA	0.291886616	0.363676805
244	E_4_t1000 vs E	Kan	1	0.354108439	0	0.531478917	0.540790335
245	E_5_t1000 vs E	Kan	1	0.444635501	0.004237053	0.660573613	0.717566493
246	E_6_t1000 vs E	Kan	1	0.494250581	0.189989869	0.42039363	0.490909539
247	E_7_t1000 vs E	Kan	1	0.193396117	0.249472159	0.280345397	0.650364671
248	E_8_t1000 vs E	Kan	1	0.46876918	0.246291206	0.322219295	0.720159303
249	E_9_t1000 vs E	Kan	1	NA	-0.059393652	0.027671427	0.206352864
250	E_10_t1000 vs E	Kan	1	0.096910013	0.170951619	0.211977996	0.354518696
251	S_1_t1000 vs E	Kan	1	0.255272505	0.356827423	0.257761306	0.555281832
252	S_2_t1000 vs E	Kan	1	0.054357662	0.133893579	0.172160965	0.328468244
253	S_3_t1000 vs E	Kan	1	0.987991093	0.337242168	0.317420412	0.363820826
254	S_4_t1000 vs E	Kan	1	0.397940009	0.396005509	0.432917592	0.26511744
255	S_5_t1000 vs E	Kan	1	0.261521454	0.296990018	0.155887873	0.326058001
256	S_6_t1000 vs E	Kan	1	0.209949526	0.130863719	0.182721838	0.286986918
257	S_7_t1000 vs E	Kan	1	-0.602059991	0.290034611	0.350876368	0.633009128
258	S_8_t1000 vs E	Kan	1	NA	-0.057991947	-0.01822482	0.028645181
259	S_9_t1000 vs E	Kan	1	0.014977156	-0.135513386	0.033984497	0.613798395
260	S_10_t1000 vs E	Kan	1	0.309630167	0.039309734	0.355011808	0.62195482
261	V_1_t1000 vs E	Kan	1	0.241715994	-0.886056648	-0.120391109	-0.01079048
262	V_2_t1000 vs E	Kan	1	0.301029996	-0.148788347	-0.43078892	-0.372912003
263	V_3_t1000 vs E	Kan	1	0.875061263	NA	-0.053245512	-0.099894867
264	V_4_t1000 vs E	Kan	1	0.499864382	0.386201605	-0.319779432	-0.083681747
265	V_5_t1000 vs E	Kan	1	-0.393344257	-0.084320886	-0.363676805	-0.237120243
266	V_6_t1000 vs E	Kan	1	-0.034762106	0.190331698	-0.165367394	-0.032452024
267	V_7_t1000 vs E	Kan	1	-0.015239967	-0.20120198	0	0.088588715
268	V_8_t1000 vs E	Kan	1	0.341458653	-0.248323645	0.153228376	0.12592465
269	V_9_t1000 vs E	Kan	1	0.331519318	-0.126244886	0.104291967	0.102305045
270	V_10_t1000 vs E	Kan	1	0.170017111	0.516629796	0	0.088941083
271	Y_1_t1000 vs E	Kan	1	0.736396502	0.014477823	0.49642641	0.900822126
272	Y_2_t1000 vs E	Kan	1	0.376576957	0.136219747	0.35728592	0.52709523
273	Y_3_t1000 vs E	Kan	1	0.301029996	0.53005733	0.508529719	0
274	Y_4_t1000 vs E	Kan	1	-0.089223184	0.437867956	0.542622803	0.615848276
275	Y_5_t1000 vs E	Kan	1	0.206871594	0.301029996	0.152288344	0.325163675
276	Y_6_t1000 vs E	Kan	1	0.332223516	0.356547324	0.682370743	0.352182518
277	Y_7_t1000 vs E	Kan	1	-0.053519256	0.388180171	0.355387658	0.238882089
278	Y_8_t1000 vs E	Kan	1	0.182525369	0.396005509	0.514658415	0.721535832
279	Y_9_t1000 vs E	Kan	1	0.054357662	0.111973759	0.301029996	0.45046906
280	Y_10_t1000 vs E	Kan	1	0.378916771	0.135255005	0.168603238	0.197630937
281	P_1_t1000 vs E	Kan	1	0.344694497	-0.367976785	-0.784884633	-1.260601339
282	P_2_t1000 vs E	Kan	1	0.30593733	-0.154096965	-0.760422483	-0.793391217
283	P_3_t1000 vs E	Kan	1	-0.023481096	-0.338818557	-0.441956838	-0.301029996
284	P_4_t1000 vs E	Kan	1	0.233469362	0.501595024	-0.182525369	-0.337875053
285	P_5_t1000 vs E	Kan	1	0.381853189	-0.352182518	-0.492915522	-0.432539122
286	P_6_t1000 vs E	Kan	1	0.190331698	-0.124938737	-0.2644011	-0.328468244
287	P_7_t1000 vs E	Kan	1	-0.146128036	-0.301029996	-0.45281872	-0.545741628
288	P_8_t1000 vs E	Kan	1	0.192606347	-0.405765346	-0.445364659	-0.937852093
289	P_9_t1000 vs E	Kan	1	0.126982479	-0.372385904	-0.370110915	-0.664207898
290	P_10_t1000 vs E	Kan	1	NA	NA	NA	NA
291	A_1_t1000 vs E	Kan	1	-0.086359831	-0.903089987	-1.164810249	-1.420112988
292	A_2_t1000 vs E	Kan	1	0.156786104	-0.135255005	-0.179296399	-0.593201848
293	A_3_t1000 vs E	Kan	1	0.074633618	-0.037788561	-1.505149978	-1.524545905
294	A_4_t1000 vs E	Kan	1	-0.023065304	-0.532638583	-1.176091259	-1.00848811
295	A_5_t1000 vs E	Kan	1	0.20576193	-0.207431011	-0.788370416	-1.026734253
296	A_6_t1000 vs E	Kan	1	-0.010857928	-0.759667845	-0.714764272	-0.950781977
297	A_7_t1000 vs E	Kan	1	0.023481096	-0.413734276	-0.880813592	-0.719532163
298	A_8_t1000 vs E	Kan	1	0.210853365	-0.591594558	-0.753327667	-1.123198075
299	A_9_t1000 vs E	Kan	1	0.181230899	-0.679225946	-0.653212514	-0.893835264
300	A_10_t1000 vs E	Kan	1	0.170017111	-0.550030991	-0.970036777	-1.083418299
301	E_1_t1000 vs E	Amp	1	-0.155368692	0.693140461	0.968208166	1.21628589
302	E_2_t1000 vs E	Amp	1	-0.035804831	0.547850023	0.961081934	1.184909724
303	E_3_t1000 vs E	Amp	1	0.12082217	0.682579588	0.958607315	1.028742437
304	E_4_t1000 vs E	Amp	1	-0.234083206	0.440909082	0.712649702	0.737533399
