Strain	Replicate	Marker	t	Frequency
E	1	Unmarked	1	0.106796117
E	2	Unmarked	1	0.056872038
E	3	Unmarked	1	0.02919708
S	1	Unmarked	1	0.2
S	2	Unmarked	1	0.129943503
S	3	Unmarked	1	0.25
V	1	Unmarked	1	0.113924051
V	2	Unmarked	1	0.100977199
V	3	Unmarked	1	-0.046082949
Y	1	Unmarked	1	0.463519313
Y	2	Unmarked	1	0.391304348
Y	3	Unmarked	1	0.375
P	1	Unmarked	1	0.515625
P	2	Unmarked	1	0.563559322
P	3	Unmarked	1	0.509803922
A	1	Unmarked	1	0.290625
A	2	Unmarked	1	0.553254438
A	3	Unmarked	1	0.4
E	1	Unmarked	2	0.34375
E	2	Unmarked	2	0.171806167
E	3	Unmarked	2	0.222222222
S	1	Unmarked	2	NA
S	2	Unmarked	2	0.431906615
S	3	Unmarked	2	0.047619048
V	1	Unmarked	2	-0.010909091
V	2	Unmarked	2	0.053003534
V	3	Unmarked	2	0.035820896
Y	1	Unmarked	2	0.173684211
Y	2	Unmarked	2	0.248995984
Y	3	Unmarked	2	0.177142857
P	1	Unmarked	2	0.328703704
P	2	Unmarked	2	0.420833333
P	3	Unmarked	2	0.512820513
A	1	Unmarked	2	0.297297297
A	2	Unmarked	2	0.216216216
A	3	Unmarked	2	0.164835165
E	1	Unmarked	3	0.256578947
E	2	Unmarked	3	0.04
E	3	Unmarked	3	0.336538462
S	1	Unmarked	3	0.333333333
S	2	Unmarked	3	0.340314136
S	3	Unmarked	3	0.390862944
V	1	Unmarked	3	0.026431718
V	2	Unmarked	3	-0.042780749
V	3	Unmarked	3	-0.123152709
Y	1	Unmarked	3	0.357142857
Y	2	Unmarked	3	0.32967033
Y	3	Unmarked	3	0.341121495
P	1	Unmarked	3	0.374384236
P	2	Unmarked	3	0.528634361
P	3	Unmarked	3	0.534883721
A	1	Unmarked	3	-0.236641221
A	2	Unmarked	3	0.31358885
A	3	Unmarked	3	0.321766562
E	1	AmpR	1	0.388349515
E	2	AmpR	1	0.55450237
E	3	AmpR	1	0.503649635
S	1	AmpR	1	0.4
S	2	AmpR	1	0.525423729
S	3	AmpR	1	0.282051282
V	1	AmpR	1	0.443037975
V	2	AmpR	1	0.54723127
V	3	AmpR	1	0.658986175
Y	1	AmpR	1	0.296137339
Y	2	AmpR	1	0.296442688
Y	3	AmpR	1	0.414772727
P	1	AmpR	1	0.18359375
P	2	AmpR	1	0.165254237
P	3	AmpR	1	0.124183007
A	1	AmpR	1	0.34375
A	2	AmpR	1	0.109467456
A	3	AmpR	1	0.290625
E	1	AmpR	2	0.380208333
E	2	AmpR	2	0.497797357
E	3	AmpR	2	0.472222222
S	1	AmpR	2	NA
S	2	AmpR	2	0.326848249
S	3	AmpR	2	0.476190476
V	1	AmpR	2	0.614545455
V	2	AmpR	2	0.508833922
V	3	AmpR	2	0.605970149
Y	1	AmpR	2	0.410526316
Y	2	AmpR	2	0.397590361
Y	3	AmpR	2	0.588571429
P	1	AmpR	2	0.24537037
P	2	AmpR	2	0.241666667
P	3	AmpR	2	0.172161172
A	1	AmpR	2	0.324324324
A	2	AmpR	2	0.234234234
A	3	AmpR	2	0.274725275
E	1	AmpR	3	0.467105263
E	2	AmpR	3	0.456
E	3	AmpR	3	0.331730769
S	1	AmpR	3	0.338461538
S	2	AmpR	3	0.267015707
S	3	AmpR	3	0.263959391
V	1	AmpR	3	0.45814978
V	2	AmpR	3	0.49197861
V	3	AmpR	3	0.45320197
Y	1	AmpR	3	0.3
Y	2	AmpR	3	0.302197802
Y	3	AmpR	3	0.257009346
P	1	AmpR	3	0.39408867
P	2	AmpR	3	0.290748899
P	3	AmpR	3	0.333333333
A	1	AmpR	3	0.828244275
A	2	AmpR	3	0.379790941
A	3	AmpR	3	0.394321767
E	1	KanR	1	0.504854369
E	2	KanR	1	0.388625592
E	3	KanR	1	0.467153285
S	1	KanR	1	0.4
S	2	KanR	1	0.344632768
S	3	KanR	1	0.467948718
V	1	KanR	1	0.443037975
V	2	KanR	1	0.351791531
V	3	KanR	1	0.387096774
Y	1	KanR	1	0.240343348
Y	2	KanR	1	0.312252964
Y	3	KanR	1	0.210227273
P	1	KanR	1	0.30078125
P	2	KanR	1	0.271186441
P	3	KanR	1	0.366013072
A	1	KanR	1	0.365625
A	2	KanR	1	0.337278107
A	3	KanR	1	0.309375
E	1	KanR	2	0.276041667
E	2	KanR	2	0.330396476
E	3	KanR	2	0.305555556
S	1	KanR	2	NA
S	2	KanR	2	0.241245136
S	3	KanR	2	0.476190476
V	1	KanR	2	0.396363636
V	2	KanR	2	0.438162544
V	3	KanR	2	0.358208955
Y	1	KanR	2	0.415789474
Y	2	KanR	2	0.353413655
Y	3	KanR	2	0.234285714
P	1	KanR	2	0.425925926
P	2	KanR	2	0.3375
P	3	KanR	2	0.315018315
A	1	KanR	2	0.378378378
A	2	KanR	2	0.54954955
A	3	KanR	2	0.56043956
E	1	KanR	3	0.467105263
E	2	KanR	3	0.456
E	3	KanR	3	0.331730769
S	1	KanR	3	0.338461538
S	2	KanR	3	0.267015707
S	3	KanR	3	0.263959391
V	1	KanR	3	0.45814978
V	2	KanR	3	0.49197861
V	3	KanR	3	0.45320197
Y	1	KanR	3	0.3
Y	2	KanR	3	0.302197802
Y	3	KanR	3	0.257009346
P	1	KanR	3	0.39408867
P	2	KanR	3	0.290748899
P	3	KanR	3	0.333333333
A	1	KanR	3	0.828244275
A	2	KanR	3	0.379790941
A	3	KanR	3	0.394321767
