thrL	190	255	265
thrA	337	2799	2544
thrB	2801	3733	934
thrC	3734	5020	1287
yaaX	5234	5530	510
yaaA	5683	6459	846
yaaJ	6529	7959	1709
talB	8238	9191	1232
mog	9306	9893	702
satP	9928	10494	715
yaaW	10643	11356	739
yaaI	11382	11786	781
dnaK	12163	14079	2293
dnaJ	14168	15298	1219
insL1	15445	16557	1259
mokC	16751	16960	1209
hokC	16751	16903	201
sokC	16952	17006	103
nhaA	17489	18655	1649
nhaR	18715	19620	965
insB1	19811	20314	1503
insA	20233	20508	582
rpsT	20815	21078	366
yaaY	21181	21399	321
ribF	21407	22348	949
ileS	22391	25207	2859
lspA	25207	25701	1494
fkpB	25826	26275	574
ispH	26277	27227	952
rihC	27293	28207	980
dapB	28374	29195	988
carA	29651	30799	1604
carB	30817	34038	3239
caiF	34300	34695	657
caiE	34781	35371	596
caiD	35377	36162	894
caiC	36271	37824	1627
caiB	37898	39115	1346
caiA	39244	40386	1173
caiT	40417	41931	1986
fixA	42403	43173	1242
fixB	43188	44129	956
fixC	44180	45466	1337
fixX	45463	45750	1287
yaaU	45807	47138	1388
kefF	47246	47776	638
kefC	47769	49631	2862
folA	49823	50302	671
apaH	50380	51222	849
apaG	51229	51606	380
rsmA	51609	52430	1821
pdxA	52427	53416	1989
surA	53416	54702	1339
lptD	54755	57109	2609
djlA	57364	58179	1070
yabP	58474	59279	1100
rluA	59687	60346	671
rapA	60358	63264	3071
polB	63429	65780	2426
araD	65855	66550	980
araA	66835	68337	1513
araB	68348	70048	2039
araC	70387	71265	1217
yabI	71351	72115	850
thiQ	72229	72927	1698
thiP	72911	74521	2610
thiB	74497	75480	1147
sgrR	75644	77299	1723
sgrS	77367	77593	294
sgrT	77388	77519	1131
setA	77621	78799	1280
leuD	78848	79453	616
leuC	79464	80864	1403
leuB	80867	81958	2091
leuA	81958	83529	1664
leuL	83622	83708	746
leuO	84368	85312	1604
ilvI	85630	87354	2042
ilvH	87357	87848	494
cra	88028	89032	1184
mraZ	89634	90092	1060
rsmH	90094	91035	943
ftsL	91032	91397	1365
ftsI	91413	93179	1782
murE	93166	94653	2487
murF	94650	96008	2358
mraY	96002	97084	2082
murD	97087	98403	1319
ftsW	98403	99647	2244
murG	99644	100711	2067
murC	100765	102240	1529
ddlB	102233	103153	1920
ftsQ	103155	103985	832
ftsA	103982	105244	2262
ftsZ	105305	106456	1212
lpxC	106557	107474	1018
secM	107705	108217	743
secA	108279	110984	2767
mutT	111044	111433	449
yacG	111649	111846	207
zapD	111856	112599	1743
coaE	112599	113219	845
guaC	113444	114487	1268
hofC	114522	115724	2202
hofB	115714	117099	1395
ppdD	117109	117549	643
nadC	117752	118645	981
ampD	118733	119284	639
ampE	119281	120135	1854
aroP	120178	121551	1914
pdhR	122092	122856	1305
aceE	123017	125680	2824
aceF	125695	127587	1907
lpd	127912	129336	1749
yacH	129407	131260	2208
acnB	131615	134212	2952
yacL	134388	134750	538
speD	134788	135582	810
speE	135598	136464	972
yacC	136570	136917	513
cueO	137083	138633	1716
gcd	138835	141225	2596
hpt	141431	141967	742
can	142008	142670	771
yadG	142779	143705	1035
yadH	143702	144472	1770
yadI	144577	145017	545
yadE	145081	146310	1293
panD	146314	146694	654
yadD	146968	147870	1176
panC	147944	148795	863
panB	148807	149601	908
yadC	149715	150953	1288
yadK	151003	151599	623
yadL	151626	152231	617
yadM	152243	152812	586
htrE	152829	155426	2632
yadV	155461	156201	838
yadN	156299	156883	954
folK	157253	157732	1479
pcnB	157729	159126	1457
gluQ	159186	160112	963
dksA	160149	160604	633
sfsA	160782	161486	719
ligT	161501	162031	604
hrpB	162105	164534	2503
mrcB	164730	167264	2730
fhuA	167484	169727	2463
fhuC	169778	170575	848
fhuD	170575	171465	1890
fhuB	171462	173444	2982
hemL	173602	174882	1505
clcA	175107	176528	1646
erpA	176610	176954	426
yadS	177001	177624	661
btuF	177662	178462	1800
mtn	178455	179153	782
dgt	179237	180754	1601
degP	180884	182308	1554
cdaR	182463	183620	1312
yaeH	183709	184095	548
yaeI	184257	185069	866
dapD	185123	185947	855
glnD	185978	188650	2734
map	188712	189506	1000
tff	189712	189847	341
rpsB	189874	190599	752
tsf	190857	191708	1109
pyrH	191855	192580	872
frr	192872	193429	849
dxr	193521	194717	1288
ispU	194903	195664	947
cdsA	195677	196534	870
rseP	196546	197898	1364
bamA	197928	200360	2462
skp	200482	200967	607
lpxD	200971	201996	1029
fabZ	202101	202556	560
lpxA	202560	203348	792
lpxB	203348	204496	2148
rnhB	204493	205089	1596
dnaE	205126	208608	3519
accA	208621	209580	972
ldcC	209679	211820	2240
yaeR	211877	212266	446
tilS	212331	213629	1363
rof	213678	213932	1254
yaeP	213925	214125	366
yaeQ	214291	214836	711
arfB	214833	215255	1422
nlpE	215269	215979	724
yaeF	216179	217003	878
proS	217057	218775	1830
tsaA	218887	219594	1707
rcsF	219591	219995	522
metQ	220113	220928	855
metI	220968	221621	1653
metN	221614	222645	1219
gmhB	222833	223408	763
rrsH	223771	225312	1904
ileV	225381	225457	145
alaV	225500	225575	118
rrlH	225759	228662	3087
rrfH	228756	228875	213
aspU	228928	229004	129
dkgB	229167	229970	966
yafC	229967	230881	1155
yafD	231122	231922	1041
yafE	231926	232549	627
mltD	232597	233955	1430
gloB	234027	234782	789
yafS	234816	235538	756
rnhA	235535	236002	532
dnaQ	236067	236798	796
aspV	236931	237007	209
yafT	237335	238120	1113
ykfM	238257	238736	489
yafU	238746	239102	360
yafF	239106	239378	276
yafV	239419	240189	924
ivy	240343	240816	627
fadE	240859	243303	2684
gmhA	243543	244121	818
yafJ	244327	245094	973
yafK	245065	245805	896
yafQ	245961	246239	281
dinJ	246242	246502	470
yafL	246712	247461	959
rayT	247637	248134	673
lfhA	248358	250070	1714
lafU	250072	250827	757
dinB	250898	251953	1126
yafN	252005	252298	345
yafO	252301	252699	401
yafP	252709	253161	462
ykfJ	253479	253685	524
prfH	253702	254202	517
pepD	254259	255716	1718
gpt	255977	256435	719
frsA	256527	257771	1336
crl	257829	257899	128
crl	258676	259006	1107
phoE	259045	260100	1343
proB	260388	261491	1391
proA	261503	262756	1265
thrW	262871	262946	190
ykfN	263150	263212	178
ykfI	263328	263669	362
