Gene	Mut ID	MG1655 Position	DNA Mutation	Mutation Type	CDS position	AA position	AA mutation	Upstream Gene	Downstream Gene	Population ID	Gen 0 frequency	Gen 100 frequency	Gen 200 frequency	Gen 300 frequency	Gen 400 frequency	Gen 500 frequency	Gen 600 frequency	Gen 700 frequency	Gen 800 frequency	Gen 900 frequency	Gen 1000 frequency	Gen 0 read depth	Gen 100 read depth	Gen 200 read depth	Gen 300 read depth	Gen 400 read depth	Gen 500 read depth	Gen 600 read depth	Gen 700 read depth	Gen 800 read depth	Gen 900 read depth	Gen 1000 read depth	Multiply hit locus
ftsW	  10	  99172	C->T	NSYN	 770	 257	P->L			E_1	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000		0.446601942	0.837500000	0.836734694	0.636363636	212.0	 72.0	119.0	 42.0	 30.0	120.0		103.0	 80.0	 98.0	121.0	 TRUE
ydhU	 129	1749771	G->A	NSYN	 578	 193	P->L			E_1	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000		0.541666667	0.821428571	0.906250000	0.610687023	325.0	122.0	119.0	 78.0	 57.0	130.0		144.0	140.0	160.0	131.0	FALSE
rpoD	 335	3214660	A->G	SYN	1614	 538	E->E			E_4	0.025806452	0.123809524	0.087719298	0.063636364	0.218390805	0.134020619	0.144578313	0.065934066	0.103448276	0.047169811	0.014388489	155.0	105.0	 57.0	110.0	 87.0	 97.0	 83.0	 91.0	 58.0	106.0	139.0	 TRUE
	 428	3815879	indel;T+C							E_1	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000		0.401785714	0.080645161	0.044444444	0.253521127	153.0	 48.0	 91.0	 48.0	 30.0	 98.0		112.0	 62.0	 90.0	 71.0	FALSE
trkH	 457	4033217	G->A	NSYN	  73	  25	G->R			E_6	0.000000000	0.300699301	0.070796460	0.324074074	0.026315789	0.011695906	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	210.0	143.0	113.0	108.0	114.0	171.0	 96.0	125.0	133.0	 22.0	127.0	 TRUE
rpoC	 482	4186605	A->C	NSYN	1256	 419	H->P			E_1	0.000000000	0.000000000	0.000000000	0.000000000	0.139534884	0.330578512		0.000000000	0.000000000	0.000000000	0.000000000	234.0	106.0	132.0	 74.0	 43.0	121.0		117.0	124.0	114.0	126.0	 TRUE
rpoC	 482	4186605	A->C	NSYN	1256	 419	H->P			S_2	0.000000000	0.000000000	0.000000000	0.138297872	0.304347826	0.101851852	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	226.0	116.0	117.0	 94.0	161.0	108.0	147.0	151.0	122.0	169.0	132.0	 TRUE
rpoC	 482	4186605	A->C	NSYN	1256	 419	H->P			V_3	0.000000000	0.000000000	0.047904192	0.461538462	0.356435644	0.687500000	0.000000000	0.281879195	0.150442478	0.102564103	0.041666667	206.0	144.0	167.0	 65.0	101.0	 80.0	155.0	149.0	113.0	117.0	 96.0	 TRUE
fimD	 569	4545073	G->T	NCOD				fimD	fimI	E_1	0.004065041	0.000000000	0.010000000	0.619047619	0.536585366	0.264150943		0.954545455	0.978494624	0.964285714	0.950495050	246.0	 75.0	100.0	 63.0	 41.0	106.0		132.0	 93.0	112.0	101.0	 TRUE
fimD	 569	4545073	G->T	NCOD				fimD	fimI	S_5	0.000000000	0.000000000	0.000000000	0.052631579	0.576086957	0.675159236	0.994565217	0.973684211	0.982954545	0.970873786	0.981707317	201.0	155.0	162.0	114.0	184.0	157.0	184.0	152.0	176.0	103.0	164.0	 TRUE
fimD	 569	4545073	G->T	NCOD				fimD	fimI	Y_2	0.000000000	0.000000000	0.005952381	0.467532468	0.177570093	0.223684211	0.292682927	0.392156863	0.325757576	0.357954545	0.181208054	177.0	104.0	168.0	 77.0	107.0	 76.0	164.0	153.0	132.0	176.0	149.0	 TRUE
fimD	 569	4545073	G->T	NCOD				fimD	fimI	V_6	0.004926108	0.000000000	0.000000000	0.000000000	0.125000000	0.385416667	0.784615385	0.786764706	1.000000000	0.964646465	0.966666667	203.0	127.0	165.0	 84.0	112.0	 96.0	 65.0	136.0	 35.0	198.0	 60.0	 TRUE
fimD	 569	4545073	G->T	NCOD				fimD	fimI	A_6	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.005494505	0.000000000	0.094240838	0.769230769	0.726027397	153.0	126.0	155.0	109.0	156.0	 92.0	182.0	127.0	191.0	104.0	146.0	 TRUE
ftsP	 742	3161975	C->G	NSYN	 695	 232	R->P			E_2	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000		0.476635514	0.193548387	0.510416667	0.382716049	0.228571429	238.0	 99.0	151.0	129.0	100.0		107.0	186.0	 96.0	162.0	105.0	 TRUE
cytR	 778	4123457	G->A	NSYN	1000	 334	R->W			E_2	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000		0.000000000	0.034285714	0.487394958	0.378698225	0.297709924	232.0	108.0	149.0	127.0	 92.0		122.0	175.0	119.0	169.0	131.0	 TRUE
fimA	 793	4543375	T->G	NSYN	 261	  87	N->K			E_2	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000		0.216000000	0.496503497	0.395604396	0.503448276	0.669811321	234.0	111.0	188.0	134.0	 85.0		125.0	143.0	 91.0	145.0	106.0	 TRUE
fimD	 796	4545036	G->T	NCOD				fimD	fimI	E_2	0.000000000	0.000000000	0.000000000	0.077464789	0.827586207		0.652542373	0.805555556	0.932692308	1.000000000	0.982758621	255.0	115.0	183.0	142.0	 87.0		118.0	180.0	104.0	148.0	116.0	 TRUE
	 821	1355153	indel;-12							E_2	0.000000000	0.000000000	0.030188679	0.446601942	0.840764331		0.988235294	0.983471074	0.985915493	0.990566038	0.980769231	175.5	 88.5	132.5	103.0	 78.5		 85.0	121.0	 71.0	106.0	104.0	FALSE
	 824	2175868	indel;-5							Y_1	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.018050542	0.000000000	0.008818342	0.482412060	0.183861083	128.7	 70.9	109.8	 95.8	 84.3	 70.9	110.8	138.9	113.4	 99.5	 97.9	FALSE
ftsI	 848	  92262	A->G	NSYN	 850	 284	N->D			V_6	0.000000000	0.000000000	0.000000000	0.012820513	0.000000000	0.025974026	0.659090909	0.460176991	0.812500000	0.830303030	0.758620690	208.0	113.0	180.0	 78.0	121.0	 77.0	 88.0	113.0	 48.0	165.0	 58.0	 TRUE
fimA	1145	4543518	C->G	NSYN	 404	 135	T->R			E_3	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.015748031	0.808823529	0.617187500	239.0	110.0	106.0	132.0	 79.0	 68.0	152.0	 67.0	127.0	136.0	128.0	 TRUE
fimD	1146	4545071	C->A	NCOD				fimD	fimI	E_3	0.000000000	0.000000000	0.000000000	0.155172414	0.239130435	0.277777778	0.993421053	0.961904762	0.991803279	0.993589744	1.000000000	245.0	112.0	132.0	174.0	 46.0	 54.0	152.0	105.0	122.0	156.0	144.0	 TRUE
fimD	1146	4545071	C->A	NCOD				fimD	fimI	V_1	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.449664430	0.500000000	0.477777778	203.0	 96.0	132.0	 65.0	131.0	 65.0	159.0	146.0	149.0	156.0	 90.0	 TRUE
fimD	1146	4545071	C->A	NCOD				fimD	fimI	V_4	0.000000000	0.000000000	0.005235602	0.008547009	0.563380282	0.705035971	0.786885246	0.616279070	0.625000000	0.698795181	0.891089109	203.0	194.0	191.0	117.0	213.0	139.0	122.0	172.0	184.0	166.0	101.0	 TRUE
