MG1655,	301,	indel;C+T;C-1,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	2 0 2 3 0 4 2 1 0 7 3,	89 80 86 95 64 81 66 97 81 132 82,	upstream;downstream gene1_thrA;gene0_thrL
MG1655,	11364,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	2 1 5 2 2 3 1 3 4 1 0,	127 95 114 88 96 116 63 101 79 134 81,	upstream;downstream gene10_yaaW,gene12_dnaK,gene9_satP;gene11_yaaI
MG1655,	14070,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	4 5 1 1 1 0 2 2 1 5 3,	137 79 118 89 98 105 62 123 85 183 113,	nonsynonymous SNV gene12_dnaK:gene12_dnaK:exon1:c.C1908A:p.D636E, MG1655
MG1655,	34111,	indel;G-2;G-1;G+T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	4 1 10 4 3 6 5 9 3 14 10,	217 161 248 185 183 216 116 181 142 214 224,	upstream;downstream gene33_caiF;gene32_carB,gene34_caiE
MG1655,	34121,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	12 14 15 25 8 19 11 14 8 16 21,	215 162 217 177 184 202 98 170 123 208 201,	upstream;downstream gene33_caiF;gene32_carB,gene34_caiE
MG1655,	34122,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	6 9 6 12 6 11 5 6 3 6 10,	217 149 217 173 175 205 98 162 122 206 201,	upstream;downstream gene33_caiF;gene32_carB,gene34_caiE
MG1655,	34123,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	6 7 7 9 5 5 3 1 0 2 5,	207 152 216 164 180 201 99 164 114 201 200,	upstream;downstream gene33_caiF;gene32_carB,gene34_caiE
MG1655,	34124,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	3 5 5 10 3 3 3 1 4 3 7,	220 156 220 167 182 205 102 166 121 201 198,	upstream;downstream gene33_caiF;gene32_carB,gene34_caiE
MG1655,	36180,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	4 5 3 6 2 3 3 2 4 7 4,	144 129 154 117 108 138 84 141 122 211 124,	upstream;downstream gene34_caiE,gene35_caiD;gene36_caiC
MG1655,	36207,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	8 0 2 2 1 2 0 6 2 8 1,	131 117 130 101 88 120 72 122 109 191 114,	upstream;downstream gene34_caiE,gene35_caiD;gene36_caiC
MG1655,	45789,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	4 1 4 2 2 2 0 3 4 4 1,	113 83 90 67 90 103 59 114 76 123 111,	upstream;downstream gene44_yaaU;gene42_fixC,gene43_fixX
MG1655,	54710,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 0 2 1 2 0 3 2 3 0 0,	152 105 128 121 114 130 54 111 112 166 132,	upstream;downstream gene52_surA;gene53_lptD
MG1655,	70054,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 1 2 3 0 0 1 1 0 1 5,	152 115 131 81 93 104 63 133 104 187 95,	upstream gene61_araB,gene62_araC
MG1655,	70057,	T->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	2 1 1 1 1 1 0 2 1 1 5,	151 109 129 72 87 95 56 131 101 183 89,	upstream gene61_araB,gene62_araC
MG1655,	70058,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 1 1 3 1 3 2 5 2 4 5,	146 110 125 77 89 98 60 129 102 178 85,	upstream gene61_araB,gene62_araC
MG1655,	70059,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 1 0 2 2 2 1 3 4 2 6,	146 108 132 82 91 103 62 133 106 166 88,	upstream gene61_araB,gene62_araC
MG1655,	70061,	T->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	2 1 2 1 1 1 1 2 1 3 5,	146 107 130 79 98 95 70 136 104 172 89,	upstream gene61_araB,gene62_araC
MG1655,	70062,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	2 2 2 1 2 2 1 4 2 3 5,	147 110 132 71 90 103 73 146 104 168 91,	upstream gene61_araB,gene62_araC
MG1655,	70063,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 2 3 1 2 1 2 4 2 5 6,	150 114 140 74 100 105 73 143 107 175 97,	upstream gene61_araB,gene62_araC
MG1655,	98931,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 0 0 0 0 0 14 5 3 15 4,	167 118 139 119 127 115 84 142 121 196 146,	nonsynonymous SNV gene88_ftsW:gene88_ftsW:exon1:c.G529T:p.G177C, MG1655
MG1655,	107544,	indel;G-1;G+T;G+TT,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	9 5 6 4 3 4 3 1 6 1 0,	139 110 109 110 111 122 72 100 102 150 107,	upstream;downstream gene96_secM,gene97_secA;gene95_lpxC
MG1655,	107554,	G->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 4 5 2 9 2 2 7 3 6 7,	124 96 95 99 104 104 69 94 91 144 99,	upstream;downstream gene96_secM,gene97_secA;gene95_lpxC
MG1655,	159161,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	3 1 2 3 6 1 1 0 0 1 1,	101 76 105 108 101 80 60 94 73 117 107,	upstream;downstream gene140_pcnB;gene141_gluQ,gene142_dksA
MG1655,	160092,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 2 4 1 0 0 3 0 0 1 0,	154 109 135 119 125 126 58 119 106 130 131,	nonsynonymous SNV gene141_gluQ:gene141_gluQ:exon1:c.G21T:p.L7F, MG1655
MG1655,	184216,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	4 2 5 2 0 1 3 1 1 3 5,	119 81 120 92 92 101 58 100 76 148 108,	upstream;downstream gene160_yaeH;gene159_cdaR,gene161_yaeI,gene162_dapD
MG1655,	218827,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	2 2 2 1 4 3 2 5 1 5 3,	127 93 111 87 77 81 61 119 66 143 95,	upstream;downstream gene192_proS;gene193_tsaA,gene194_rcsF
MG1655,	290198,	indel;A-1;A+G;A+T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	1 0 1 1 1 0 2 4 1 1 1,	92 74 111 79 84 72 60 78 64 100 103,	frameshift substitution gene279_argF:gene279_argF:exon1:c.108_108delinsAT, MG1655
MG1655,	293439,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	7 3 2 2 3 3 2 0 2 2 1,	132 114 128 141 120 135 68 122 111 127 124,	nonsynonymous SNV gene285_yagL:gene285_yagL:exon1:c.G480T:p.L160F, MG1655
MG1655,	293521,	C->A,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	2 2 3 2 3 3 4 1 0 3 2,	160 95 119 117 118 124 72 127 82 148 109,	nonsynonymous SNV gene285_yagL:gene285_yagL:exon1:c.G398T:p.C133F, MG1655
MG1655,	296488,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	191 101 159 115 120 120 82 150 107 185 117,	191 101 159 115 120 120 82 151 107 185 118,	synonymous SNV gene288_intF:gene288_intF:exon1:c.G609A:p.E203E, MG1655
MG1655,	300722,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 2 0 0 0 0 2 0 0 1 0,	99 78 69 47 60 65 31 67 61 94 80,	synonymous SNV gene293_paoC:gene293_paoC:exon1:c.G213A:p.A71A, MG1655
MG1655,	311481,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	5 1 7 4 1 2 5 0 2 6 4,	210 134 203 171 143 196 94 129 117 154 156,	upstream;downstream gene302_ecpA,gene303_ecpR,gene304_ykgL;gene305_ykgO
MG1655,	318091,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 0 0 0 0 0 0 13 4 8 1,	283 153 230 170 157 172 99 183 102 229 161,	nonsynonymous SNV gene314_rclC:gene314_rclC:exon1:c.G229A:p.A77T, MG1655
MG1655,	324200,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 1 0 5 0 3 1 0 1 2 1,	142 92 134 97 106 116 80 98 99 158 107,	nonsynonymous SNV gene320_ykgG:gene320_ykgG:exon1:c.C443T:p.S148F, MG1655
MG1655,	324201,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 2 0 5 0 0 0 0 0 3 0,	148 93 131 98 109 109 76 103 94 158 108,	synonymous SNV gene320_ykgG:gene320_ykgG:exon1:c.C444T:p.S148S, MG1655
MG1655,	324203,	C->T,	0.0 100.0 200.0 300.0 400.0 500.0 600.0 700.0 800.0 900.0 1000.0,	0 1 0 6 1 0 0 0 0 2 2,	139 91 131 102 110 114 78 103 96 154 107,	nonsynonymous SNV gene320_ykgG:gene320_ykgG:exon1:c.C446T:p.A149V, MG1655
